Size,SimdMul,Mul,SimdMulSum,MulSum,Simd Multiply Speedup,SIMD Multiply + Reduction
1000,  584.24,  114.08,  788.32,  117.87,    5.12,    6.69
2000,  518.24,  114.24,  735.00,  117.27,    4.54,    6.27
4000,  528.19,  114.66,  743.21,  117.75,    4.61,    6.31
8000,  530.85,  114.00,  788.75,  117.02,    4.66,    6.74
16000,  528.73,  113.83,  723.48,  115.64,    4.64,    6.26
32000,  508.59,  114.29,  725.77,  116.36,    4.45,    6.24
64000,  570.40,  114.71,  802.64,  117.87,    4.97,    6.81
128000,  528.90,  114.49,  790.08,  118.01,    4.62,    6.70
256000,  520.96,  114.55,  749.10,  115.85,    4.55,    6.47
512000,  525.23,  120.74,  745.65,  119.92,    4.35,    6.22
1024000,  532.77,  120.15,  769.08,  122.83,    4.43,    6.26
2048000,  523.87,  110.87,  721.57,  116.39,    4.72,    6.20
4096000,  668.74,  194.54, 1028.22,  192.33,    3.44,    5.35
8192000,  570.26,  114.21,  744.75,  117.92,    4.99,    6.32
16384000,  520.07,  114.21,  743.87,  127.29,    4.55,    5.84
32768000,  513.35,  112.43,  735.38,  118.87,    4.57,    6.19
