Threads, Peak Performance
8,1344.531821
Index,Sum
0,1175377.500000
1,58744.460938
2,80560.554688
3,81153.781250
4,65437.472656
5,75154.960938
6,68252.921875
7,70357.601562
8,69170.710938
9,61920.203125
10,67914.750000
11,59266.609375
12,64721.539062
13,65426.574219
14,61182.300781
15,70019.882812
16,76922.101562
17,65306.136719
18,58248.699219
19,53409.261719
20,63013.816406
21,68545.679688
22,54695.656250
23,53861.511719
24,43920.156250
25,55224.152344
26,56994.117188
27,48735.894531
28,47319.449219
29,54156.574219
30,42531.566406
31,48145.632812
32,34047.304688
33,37551.156250
34,32613.091797
35,35278.757812
36,42403.179688
37,28402.078125
38,21878.257812
39,26445.648438
40,22040.128906
41,39005.812500
42,25945.380859
43,11270.552734
44,30026.351562
45,12677.521484
46,15678.912109
47,5241.865723
48,7326.034180
49,12967.814453
50,2840.729736
51,1743.536255
52,20193.855469
53,-5377.750977
54,9430.267578
55,-10788.236328
56,-5749.574707
57,-4988.572754
58,-12976.416016
59,-11736.587891
60,3023.318848
61,-5321.120117
62,-18014.115234
63,-23817.257812
64,-18494.052734
65,-16940.369141
66,-27298.158203
67,-28035.179688
68,-39138.378906
69,-31557.853516
70,-30659.597656
71,-31127.642578
72,-31241.253906
73,-41402.085938
74,-40257.964844
75,-38579.515625
76,-42253.535156
77,-48680.714844
78,-44431.429688
79,-36133.441406
80,-47736.660156
81,-45175.878906
82,-51352.195312
83,-60987.332031
84,-36059.562500
85,-58999.457031
86,-57024.019531
87,-65262.824219
88,-58359.062500
89,-62094.734375
90,-61429.812500
91,-49105.855469
92,-53587.765625
93,-69514.531250
94,-52134.710938
95,-50132.078125
96,-66954.679688
97,-56985.664062
98,-61505.464844
99,-65077.816406
100,-44922.515625
101,-57576.460938
102,-63271.343750
103,-76291.445312
104,-62911.347656
105,-54025.605469
106,-67690.867188
107,-58486.410156
108,-73444.945312
109,-65726.875000
110,-71836.429688
111,-66437.625000
112,-71087.726562
113,-61876.824219
114,-72697.890625
115,-60303.890625
116,-59381.546875
117,-68319.976562
118,-68222.906250
119,-75146.500000
120,-65036.023438
121,-74412.687500
122,-64923.980469
123,-60031.726562
124,-55600.675781
125,-64332.429688
126,-59081.906250
127,-68630.054688
128,-57537.781250
129,-60859.785156
130,-61102.695312
131,-52943.019531
132,-55742.148438
133,-48139.113281
134,-50198.058594
135,-44020.765625
136,-38306.539062
137,-56518.957031
138,-44173.824219
139,-42125.359375
140,-30387.619141
141,-39856.812500
142,-37720.625000
143,-42231.003906
144,-32623.859375
145,-35772.324219
146,-39936.789062
147,-27218.744141
148,-33299.468750
149,-27526.507812
150,-20213.177734
151,-32780.316406
152,-15163.270508
153,-16840.675781
154,-15845.291992
155,-14307.047852
156,-6346.933594
157,-6138.238770
158,-17759.777344
159,-8071.196777
160,-7806.894531
161,4126.604004
162,7195.188477
163,2373.465576
164,5152.952148
165,-1016.849731
166,3896.646240
167,15257.705078
168,21949.214844
169,11425.586914
170,18086.216797
171,16082.097656
172,26289.519531
173,15382.017578
174,14810.376953
175,30145.115234
176,31876.322266
177,37385.382812
178,22326.210938
179,19798.972656
180,38406.558594
181,32796.535156
182,37917.000000
183,28987.388672
184,40586.484375
185,44851.457031
186,44932.007812
187,48737.496094
188,50989.281250
189,52466.851562
190,52609.812500
191,54529.195312
192,46469.062500
193,55483.261719
194,68860.242188
195,59616.500000
196,62987.597656
197,62301.765625
198,65944.242188
199,61585.601562
200,66157.023438
201,62208.343750
202,56992.937500
203,57660.234375
204,66920.101562
205,77403.437500
206,61903.683594
207,59761.074219
208,70408.257812
209,68352.273438
210,67385.070312
211,65218.839844
212,77282.023438
213,63787.582031
214,78757.179688
215,67636.593750
216,67722.734375
217,71341.343750
218,71363.546875
219,63105.062500
220,65738.554688
221,66754.859375
222,69972.125000
223,71963.070312
224,69189.984375
225,62608.949219
226,73956.031250
227,59611.171875
228,54623.980469
229,65023.980469
230,57228.144531
231,50475.140625
232,68364.148438
233,66362.640625
234,63723.269531
235,57487.437500
236,58918.917969
237,56899.214844
238,48939.464844
239,59422.218750
240,59839.339844
241,39281.417969
242,49572.894531
243,39524.945312
244,39468.253906
245,38753.769531
246,45712.667969
247,39286.425781
248,45154.785156
249,29216.662109
250,35545.343750
251,38368.535156
252,32892.953125
253,25217.703125
254,31034.041016
255,26569.558594
256,29518.951172
257,23230.212891
258,23646.435547
259,26418.062500
260,28205.121094
261,12932.697266
262,13030.744141
263,10691.250977
264,15536.503906
265,6830.938477
266,4981.262207
267,2332.029541
268,4308.431152
269,-1366.338501
270,-2838.551270
271,4440.088867
272,8664.250000
273,-12252.353516
274,-11027.997070
275,-1990.781982
276,-14912.484375
277,-5498.898926
278,-17556.207031
279,-16671.205078
280,-19654.775391
281,-25932.912109
282,-20759.634766
283,-33253.183594
284,-38005.132812
285,-31347.652344
286,-32233.378906
287,-39135.093750
288,-39830.039062
289,-40657.093750
290,-37952.222656
291,-35519.597656
292,-30111.478516
