Performance
137.086042
Index,Sum
0,1175377.500000
1,58744.457031
2,80560.554688
3,81153.781250
4,65437.472656
5,75154.968750
6,68252.929688
7,70357.601563
8,69170.718750
9,61920.203125
10,67914.750000
11,59266.605469
12,64721.539063
13,65426.582031
14,61182.289063
15,70019.882813
16,76922.101563
17,65306.136719
18,58248.703125
19,53409.261719
20,63013.820313
21,68545.679688
22,54695.656250
23,53861.519531
24,43920.152344
25,55224.156250
26,56994.117188
27,48735.898438
28,47319.453125
29,54156.562500
30,42531.554688
31,48145.632813
32,34047.312500
33,37551.160156
34,32613.091797
35,35278.757813
36,42403.167969
37,28402.076172
38,21878.267578
39,26445.648438
40,22040.119141
41,39005.812500
42,25945.382813
43,11270.555664
44,30026.353516
45,12677.522461
46,15678.910156
47,5241.865234
48,7326.033203
49,12967.806641
50,2840.729736
51,1743.537720
52,20193.861328
53,-5377.744141
54,9430.269531
55,-10788.238281
56,-5749.575195
57,-4988.572754
58,-12976.418945
59,-11736.588867
60,3023.321777
61,-5321.121582
62,-18014.119141
63,-23817.248047
64,-18494.048828
65,-16940.369141
66,-27298.160156
67,-28035.173828
68,-39138.378906
69,-31557.853516
70,-30659.591797
71,-31127.638672
72,-31241.259766
73,-41402.093750
74,-40257.957031
75,-38579.531250
76,-42253.535156
77,-48680.714844
78,-44431.429688
79,-36133.437500
80,-47736.656250
81,-45175.863281
82,-51352.195313
83,-60987.335938
84,-36059.566406
85,-58999.468750
86,-57024.019531
87,-65262.816406
88,-58359.074219
89,-62094.726563
90,-61429.812500
91,-49105.851563
92,-53587.769531
93,-69514.531250
94,-52134.703125
95,-50132.074219
96,-66954.679688
97,-56985.660156
98,-61505.449219
99,-65077.808594
100,-44922.519531
101,-57576.464844
102,-63271.343750
103,-76291.437500
104,-62911.339844
105,-54025.613281
106,-67690.867188
107,-58486.410156
108,-73444.945313
109,-65726.882813
110,-71836.453125
111,-66437.625000
112,-71087.726563
113,-61876.816406
114,-72697.898438
115,-60303.890625
116,-59381.546875
117,-68319.976563
118,-68222.906250
119,-75146.500000
120,-65036.027344
121,-74412.687500
122,-64923.980469
123,-60031.726563
124,-55600.675781
125,-64332.429688
126,-59081.902344
127,-68630.062500
128,-57537.781250
129,-60859.792969
130,-61102.683594
131,-52943.019531
132,-55742.144531
133,-48139.113281
134,-50198.042969
135,-44020.765625
136,-38306.531250
137,-56518.949219
138,-44173.828125
139,-42125.351563
140,-30387.623047
141,-39856.820313
142,-37720.613281
143,-42231.007813
144,-32623.851563
145,-35772.324219
146,-39936.781250
147,-27218.750000
148,-33299.472656
149,-27526.515625
150,-20213.175781
151,-32780.308594
152,-15163.273438
153,-16840.679688
154,-15845.297852
155,-14307.048828
156,-6346.937988
157,-6138.239258
158,-17759.777344
159,-8071.198730
160,-7806.897949
161,4126.604004
162,7195.191895
163,2373.458984
164,5152.950195
165,-1016.852539
166,3896.647461
167,15257.701172
168,21949.216797
169,11425.589844
170,18086.212891
171,16082.094727
172,26289.521484
173,15382.012695
174,14810.383789
175,30145.113281
176,31876.330078
177,37385.382813
178,22326.214844
179,19798.970703
180,38406.554688
181,32796.542969
182,37917.000000
183,28987.384766
184,40586.480469
185,44851.457031
186,44931.996094
187,48737.500000
188,50989.277344
189,52466.859375
190,52609.820313
191,54529.195313
192,46469.050781
193,55483.250000
194,68860.226563
195,59616.488281
196,62987.593750
197,62301.757813
198,65944.250000
199,61585.601563
200,66157.015625
201,62208.335938
202,56992.937500
203,57660.230469
204,66920.101563
205,77403.429688
206,61903.679688
207,59761.089844
208,70408.250000
209,68352.289063
210,67385.070313
211,65218.839844
212,77282.023438
213,63787.574219
214,78757.179688
215,67636.601563
216,67722.734375
217,71341.343750
218,71363.539063
219,63105.046875
220,65738.546875
221,66754.851563
222,69972.125000
223,71963.054688
224,69189.992188
225,62608.953125
226,73956.046875
227,59611.164063
228,54623.992188
229,65023.972656
230,57228.140625
231,50475.140625
232,68364.140625
233,66362.640625
234,63723.269531
235,57487.433594
236,58918.910156
237,56899.207031
238,48939.464844
239,59422.222656
240,59839.351563
241,39281.410156
242,49572.902344
243,39524.941406
244,39468.246094
245,38753.757813
246,45712.679688
247,39286.429688
248,45154.781250
249,29216.662109
250,35545.343750
251,38368.539063
252,32892.949219
253,25217.697266
254,31034.044922
255,26569.552734
256,29518.964844
257,23230.212891
258,23646.431641
259,26418.060547
260,28205.125000
261,12932.686523
262,13030.746094
263,10691.241211
264,15536.504883
265,6830.938965
266,4981.267578
267,2332.032959
268,4308.431641
269,-1366.337891
270,-2838.549072
271,4440.090820
272,8664.244141
273,-12252.360352
274,-11028.000000
275,-1990.782471
276,-14912.495117
277,-5498.907227
278,-17556.207031
279,-16671.208984
280,-19654.767578
281,-25932.919922
282,-20759.628906
283,-33253.187500
284,-38005.132813
285,-31347.646484
286,-32233.378906
287,-39135.089844
288,-39830.046875
289,-40657.093750
290,-37952.218750
291,-35519.597656
292,-30111.470703
293,-53918.222656
294,-36908.347656
295,-40808.570313
296,-48609.902344
297,-45612.355469
298,-49962.156250
299,-65645.460938
300,-53126.492188
301,-61283.542969
302,-51292.464844
303,-45862.554688
304,-53650.390625
305,-49353.703125
306,-53343.980469
307,-53349.558594
308,-61315.480469
309,-58444.621094
310,-58436.785156
311,-66111.203125
312,-69162.070313
313,-67361.945313
314,-57589.921875
315,-66442.062500
316,-71373.664063
317,-64176.277344
318,-61631.914063
319,-64037.511719
320,-72331.515625
321,-63103.722656
322,-73780.421875
323,-79824.742188
324,-73603.257813
325,-74192.664063
326,-68944.554688
327,-67559.546875
328,-73824.695313
329,-65477.320313
330,-66483.875000
331,-58126.945313
332,-79279.281250
333,-69347.429688
334,-59897.031250
335,-68795.320313
336,-74465.789063
337,-62977.812500
338,-61535.042969
339,-59574.414063
340,-68187.296875
341,-54885.128906
342,-49844.234375
343,-52177.960938
344,-58219.386719
345,-56608.117188
346,-54462.398438
347,-53147.281250
348,-51119.480469
349,-55322.761719
350,-44935.082031
351,-45073.246094
352,-41350.765625
353,-39607.382813
354,-50059.050781
355,-50047.285156
356,-42112.886719
357,-33453.945313
358,-27336.103516
359,-30868.539063
360,-32188.943359
361,-25294.281250
362,-33721.750000
363,-30047.011719
364,-30041.341797
365,-20955.066406
366,-16812.775391
367,-23827.164063
368,-17079.818359
369,-18330.183594
370,-14428.232422
371,-12593.870117
372,-5607.955566
373,-9958.493164
374,-12334.102539
375,-12856.281250
376,9157.206055
377,-40.936344
378,11582.138672
379,-1049.284668
380,5182.676758
381,12559.083008
382,2395.031494
383,3640.802490
384,12255.956055
385,10690.557617
386,13990.066406
387,25340.505859
388,10912.029297
389,26451.783203
390,27057.458984
391,20041.439453
392,27076.556641
393,35193.957031
394,36236.093750
395,32653.392578
396,31360.468750
397,43606.160156
398,40581.937500
399,33852.539063
400,34355.109375
401,35669.488281
402,44147.542969
403,47852.957031
404,37339.679688
405,45708.296875
406,40143.656250
407,63457.019531
408,53104.871094
409,60928.835938
410,60595.679688
411,54117.960938
412,56522.191406
413,60369.359375
414,60708.183594
415,72456.617188
416,53096.847656
417,56864.324219
418,64774.226563
419,68459.960938
420,57950.199219
421,60297.195313
422,70119.070313
423,72451.789063
424,71492.234375
425,70948.296875
426,70281.531250
427,67010.132813
428,67755.632813
429,72693.093750
430,77509.742188
431,77164.976563
432,57752.460938
433,79488.679688
434,72728.265625
435,72311.273438
436,70443.156250
