Peak Performance
1.788431
Index,Sum
0,1175380.625000
1,58744.519531
2,80560.421875
3,81153.734375
4,65437.398438
5,75154.992188
6,68252.671875
7,70357.640625
8,69170.867188
9,61919.777344
10,67914.640625
11,59266.656250
12,64721.382812
13,65426.781250
14,61182.484375
15,70020.093750
16,76922.117188
17,65306.269531
18,58248.285156
19,53409.152344
20,63013.859375
21,68545.406250
22,54695.835938
23,53861.523438
24,43920.382812
25,55223.992188
26,56994.187500
27,48735.765625
28,47319.222656
29,54156.632812
30,42531.218750
31,48145.632812
32,34047.371094
33,37551.183594
34,32613.230469
35,35278.710938
36,42403.312500
37,28402.048828
38,21878.324219
39,26445.767578
40,22040.085938
41,39005.777344
42,25945.382812
43,11270.552734
44,30026.447266
45,12677.536133
46,15678.941406
47,5241.849609
48,7326.030273
49,12967.726562
50,2840.752441
51,1743.527588
52,20193.824219
53,-5377.791016
54,9430.279297
55,-10788.208008
56,-5749.561523
57,-4988.578613
58,-12976.431641
59,-11736.612305
60,3023.320312
61,-5321.103516
62,-18014.046875
63,-23817.296875
64,-18493.996094
65,-16940.394531
66,-27298.089844
67,-28035.185547
68,-39138.464844
69,-31557.843750
70,-30659.574219
71,-31127.808594
72,-31241.152344
73,-41401.890625
74,-40257.972656
75,-38579.695312
76,-42253.289062
77,-48680.707031
78,-44431.425781
79,-36133.433594
80,-47736.675781
81,-45176.007812
82,-51352.398438
83,-60987.460938
84,-36059.492188
85,-58999.167969
86,-57023.859375
87,-65262.851562
88,-58358.968750
89,-62094.703125
90,-61429.652344
91,-49105.992188
92,-53587.667969
93,-69514.085938
94,-52134.378906
95,-50132.093750
96,-66954.679688
97,-56985.812500
98,-61505.324219
99,-65077.789062
100,-44922.500000
101,-57576.632812
102,-63271.359375
103,-76291.312500
104,-62911.593750
105,-54025.945312
106,-67690.640625
107,-58486.257812
108,-73444.984375
109,-65726.703125
110,-71836.585938
111,-66437.460938
112,-71087.539062
113,-61876.714844
114,-72698.054688
115,-60304.195312
116,-59381.855469
117,-68319.906250
118,-68223.117188
119,-75146.578125
120,-65036.039062
121,-74412.718750
122,-64923.882812
123,-60031.886719
124,-55600.886719
125,-64332.351562
126,-59081.695312
127,-68630.656250
128,-57537.605469
129,-60860.078125
130,-61102.632812
131,-52942.933594
132,-55742.035156
133,-48139.218750
134,-50198.171875
135,-44020.500000
136,-38306.578125
137,-56519.089844
138,-44173.828125
139,-42125.187500
140,-30387.472656
141,-39856.972656
142,-37720.726562
143,-42230.804688
144,-32623.939453
145,-35772.269531
146,-39936.925781
147,-27218.687500
148,-33299.652344
149,-27526.412109
150,-20213.195312
151,-32780.359375
152,-15163.366211
153,-16840.681641
154,-15845.326172
155,-14307.029297
156,-6346.959961
157,-6138.244629
158,-17759.763672
159,-8071.202148
160,-7806.897461
161,4126.596191
162,7195.168945
163,2373.435791
164,5152.993164
165,-1016.874817
166,3896.648926
167,15257.780273
168,21949.224609
169,11425.616211
170,18086.164062
171,16082.191406
172,26289.617188
173,15382.060547
174,14810.409180
175,30145.041016
176,31876.335938
177,37385.671875
178,22326.291016
179,19798.960938
180,38406.578125
181,32796.648438
182,37916.878906
183,28987.425781
184,40586.164062
185,44851.710938
186,44931.832031
187,48737.394531
188,50989.066406
189,52466.722656
190,52610.117188
191,54529.117188
192,46469.050781
193,55483.019531
194,68860.390625
195,59616.699219
196,62987.421875
197,62301.703125
198,65943.875000
199,61585.671875
200,66156.929688
201,62208.257812
202,56992.859375
203,57660.195312
204,66920.125000
205,77403.312500
206,61903.609375
207,59761.242188
208,70408.093750
209,68352.359375
210,67384.507812
211,65218.546875
212,77281.554688
213,63787.847656
214,78757.343750
215,67636.609375
216,67722.523438
217,71341.492188
218,71363.742188
219,63105.214844
220,65738.609375
221,66754.898438
222,69971.976562
223,71963.078125
224,69190.226562
225,62609.031250
226,73956.187500
227,59611.250000
228,54624.312500
229,65023.902344
230,57228.335938
231,50475.253906
232,68363.984375
233,66362.257812
234,63723.273438
235,57487.242188
236,58918.816406
237,56899.343750
238,48939.207031
239,59422.332031
240,59839.605469
241,39281.191406
242,49572.757812
243,39524.906250
244,39468.085938
245,38753.921875
246,45712.707031
247,39286.335938
248,45154.855469
249,29216.625000
250,35545.234375
251,38368.503906
252,32893.074219
253,25217.707031
254,31033.876953
255,26569.646484
256,29518.968750
257,23230.232422
258,23646.468750
259,26418.046875
260,28205.025391
261,12932.629883
262,13030.765625
263,10691.253906
264,15536.426758
265,6830.920898
266,4981.248047
267,2332.035889
268,4308.439941
269,-1366.348145
270,-2838.576172
271,4440.094727
272,8664.209961
273,-12252.375977
274,-11028.105469
275,-1990.782837
276,-14912.441406
277,-5498.937988
278,-17556.130859
279,-16671.189453
280,-19654.789062
281,-25932.933594
282,-20759.634766
283,-33253.281250
284,-38004.996094
285,-31347.515625
286,-32233.556641
287,-39135.023438
288,-39830.046875
289,-40656.886719
290,-37952.210938
291,-35519.632812
292,-30111.294922
293,-53918.226562
294,-36908.183594
295,-40808.386719
296,-48609.945312
297,-45612.585938
298,-49962.046875
299,-65645.468750
300,-53126.453125
301,-61283.757812
302,-51292.468750
303,-45862.492188
304,-53650.269531
305,-49353.785156
306,-53343.976562
307,-53349.585938
308,-61315.453125
309,-58444.664062
310,-58436.812500
311,-66110.859375
312,-69162.093750
313,-67362.031250
314,-57589.652344
315,-66441.859375
316,-71373.882812
317,-64176.332031
318,-61631.949219
319,-64037.328125
320,-72331.468750
321,-63103.515625
322,-73780.226562
323,-79825.078125
324,-73603.375000
325,-74192.968750
326,-68944.351562
327,-67559.921875
328,-73824.453125
329,-65477.257812
330,-66483.828125
331,-58126.984375
332,-79279.359375
333,-69347.289062
334,-59897.000000
335,-68795.335938
336,-74465.304688
337,-62977.671875
338,-61535.375000
339,-59574.445312
340,-68187.296875
341,-54885.187500
342,-49844.460938
343,-52177.914062
344,-58219.503906
345,-56607.957031
346,-54462.671875
347,-53147.480469
348,-51119.433594
349,-55323.082031
350,-44935.085938
351,-45073.304688
352,-41350.785156
353,-39607.503906
354,-50059.019531
355,-50047.031250
356,-42112.867188
357,-33454.007812
358,-27336.261719
359,-30868.396484
360,-32188.962891
361,-25294.304688
362,-33721.914062
363,-30047.082031
364,-30041.236328
365,-20955.085938
366,-16812.769531
367,-23827.228516
368,-17080.015625
369,-18330.183594
370,-14428.251953
371,-12593.836914
372,-5607.975586
373,-9958.504883
374,-12334.116211
375,-12856.273438
376,9157.187500
377,-40.925293
378,11582.153320
379,-1049.279053
380,5182.671387
381,12559.077148
382,2395.029785
383,3640.780762
384,12255.933594
385,10690.484375
386,13990.011719
387,25340.525391
388,10912.063477
389,26451.769531
390,27057.488281
391,20041.298828
392,27076.580078
393,35194.031250
394,36235.929688
395,32653.474609
396,31360.531250
397,43606.191406
398,40581.863281
399,33852.515625
400,34355.011719
401,35669.523438
402,44147.351562
403,47853.085938
404,37339.800781
405,45708.335938
406,40143.468750
407,63457.007812
408,53105.238281
409,60928.875000
410,60595.718750
411,54118.109375
412,56522.007812
413,60369.484375
414,60708.128906
415,72456.750000
416,53097.148438
417,56864.363281
418,64774.308594
419,68459.812500
420,57950.070312
421,60297.511719
422,70119.093750
423,72451.781250
424,71491.937500
425,70948.078125
426,70281.445312
427,67009.921875
428,67755.773438
429,72692.609375
430,77509.835938
431,77164.687500
432,57752.375000
433,79488.859375
434,72728.710938
435,72311.406250
436,70443.179688
437,66341.851562
438,66692.343750
439,74952.421875
440,56141.742188
441,57144.156250
442,71834.093750
443,68562.328125
444,63945.960938
445,56760.980469
446,59287.304688
447,64222.593750
448,64075.910156
449,66372.234375
450,61746.824219
451,59742.890625
452,60481.898438
453,56332.804688
454,54604.328125
455,46132.437500
456,53987.335938
457,49694.324219
458,54140.078125
459,43078.421875
460,56083.214844
461,41055.117188
462,35414.488281
463,47359.867188
464,43982.890625
465,44455.808594
466,31249.019531
467,37590.066406
468,42271.484375
469,31081.445312
470,32501.968750
471,38079.230469
472,18446.925781
473,25759.566406
474,19509.324219
475,10449.248047
476,23877.167969
477,5106.708984
478,20524.285156
479,-533.583252
480,4757.031738
481,6138.680176
482,3820.683594
483,16108.281250
484,13602.815430
485,-3293.104492
486,-6705.978516
487,-3374.394531
488,-5812.786133
489,-9531.356445
490,-10869.091797
491,-9497.035156
492,-17580.867188
493,-1782.704346
494,-13866.780273
495,-19873.341797
496,-16096.039062
497,-31635.130859
498,-13689.007812
499,-30568.621094
500,-38810.773438
501,-34004.718750
502,-30843.855469
503,-27612.685547
504,-24061.126953
505,-43714.355469
506,-37463.851562
507,-36817.546875
508,-49956.714844
509,-49916.312500
510,-43310.910156
511,-54557.812500
512,-51152.500000
513,-65541.484375
514,-51975.390625
515,-54084.304688
516,-60924.039062
517,-62438.046875
518,-62355.722656
519,-56433.476562
520,-51040.175781
521,-66477.117188
522,-62522.136719
523,-72118.703125
524,-50894.882812
525,-57453.003906
526,-63830.867188
527,-68241.312500
528,-67597.484375
529,-67386.921875
530,-69078.546875
531,-52359.492188
532,-69675.843750
533,-59854.761719
534,-80354.812500
535,-71318.921875
536,-67160.859375
537,-60235.750000
538,-63375.351562
539,-79286.304688
540,-80782.023438
541,-74406.109375
542,-71298.421875
543,-61814.484375
544,-68654.734375
545,-74596.625000
546,-70993.609375
547,-64102.375000
548,-45805.750000
549,-66396.000000
550,-70385.875000
551,-69757.242188
552,-70437.320312
553,-51318.187500
554,-58455.187500
555,-67514.773438
556,-63189.675781
557,-50958.250000
558,-55023.812500
559,-52824.718750
560,-52496.023438
561,-66273.875000
562,-46326.210938
563,-56924.742188
564,-52196.542969
565,-57200.078125
566,-54574.519531
567,-46267.753906
568,-53469.890625
569,-45565.894531
570,-39394.941406
571,-23500.707031
572,-37783.871094
573,-42345.468750
574,-33727.132812
575,-30232.507812
576,-35779.562500
577,-27104.480469
578,-22433.195312
579,-27629.937500
580,-32317.312500
581,-15895.926758
582,-22803.958984
583,-25220.609375
584,-22826.511719
585,-6958.244141
586,-11104.144531
587,-12433.568359
588,-17202.414062
589,1918.087891
590,-1335.613770
591,-20321.769531
592,1111.908691
593,2343.289062
594,-10301.601562
595,4998.437012
596,-5302.583008
597,-10175.545898
598,17031.882812
599,16586.107422
600,11178.148438
601,15613.291016
602,31809.876953
603,29679.820312
604,19686.167969
605,19561.175781
606,21139.652344
607,16842.859375
608,24703.974609
609,22503.347656
610,26832.664062
611,49215.722656
612,41827.128906
613,25204.417969
614,29262.896484
615,35095.062500
616,41361.851562
617,36332.429688
618,32525.617188
619,50837.812500
620,47597.609375
621,48783.289062
622,46332.144531
623,53194.339844
624,56937.132812
625,61259.605469
626,66725.984375
627,51847.476562
628,56818.683594
629,63075.785156
630,58267.242188
631,58161.214844
632,63989.546875
633,70513.234375
634,58632.406250
635,68567.203125
636,68451.125000
637,64226.453125
638,60287.718750
639,59066.773438
640,64583.507812
641,61428.019531
642,55114.242188
643,64379.828125
644,71905.023438
645,71736.882812
646,67761.828125
647,66426.640625
648,76311.078125
649,69741.125000
650,68378.304688
651,66355.921875
652,72680.390625
653,58446.406250
654,63346.164062
655,66267.328125
656,60746.335938
657,66403.093750
658,59271.304688
659,60989.628906
660,68184.265625
661,71153.390625
662,63465.859375
663,57427.296875
664,61086.156250
665,59429.839844
666,56541.328125
667,56967.332031
668,48833.398438
669,47334.871094
670,59299.867188
671,53172.367188
672,48374.339844
673,49162.410156
674,54325.281250
675,53729.738281
676,51791.695312
677,52669.773438
678,46091.621094
679,45886.125000
680,33571.832031
681,32408.056641
682,38064.687500
683,31961.669922
684,31530.582031
685,28602.703125
686,18925.986328
687,30799.507812
688,27151.287109
689,26060.175781
690,18715.648438
691,22103.195312
692,13095.759766
693,23819.343750
694,8074.500000
695,12077.736328
696,9379.196289
697,7545.126953
698,7798.609375
699,9181.854492
700,4293.122559
701,-632.136719
702,1423.271851
703,-1787.645996
704,-3195.572266
705,-5111.798828
706,-17285.304688
707,-8962.310547
708,-18521.492188
709,-17906.605469
710,-8416.955078
711,-21128.798828
712,-33115.382812
713,-25843.449219
714,-27269.798828
715,-21694.041016
716,-27901.027344
717,-18420.101562
718,-24848.195312
719,-33950.886719
720,-33432.296875
721,-33444.968750
722,-38302.257812
723,-46754.070312
724,-33987.839844
725,-40782.578125
726,-46625.171875
727,-54861.054688
728,-47998.867188
729,-51393.101562
730,-50532.441406
731,-53588.839844
732,-52210.828125
733,-55535.316406
734,-54735.855469
735,-52315.742188
736,-50485.945312
737,-55128.394531
738,-61249.187500
739,-55718.640625
740,-59318.867188
741,-52099.890625
742,-56194.945312
743,-66210.812500
744,-59666.082031
745,-62967.984375
746,-58512.652344
747,-64435.996094
748,-64476.074219
749,-72471.875000
750,-65406.585938
751,-71801.937500
752,-75840.093750
753,-59995.835938
754,-70907.078125
755,-66947.421875
756,-62620.218750
757,-66141.312500
758,-73515.773438
759,-67967.828125
760,-77658.500000
761,-67083.289062
762,-65436.460938
763,-65641.812500
764,-67798.390625
765,-58153.953125
766,-63780.976562
767,-76376.210938
768,-63286.312500
769,-51576.074219
770,-53869.449219
771,-53060.710938
772,-66327.781250
773,-64769.984375
774,-63515.187500
775,-67616.210938
776,-51720.246094
777,-67210.617188
778,-56718.078125
779,-54598.792969
780,-53294.367188
781,-50302.750000
782,-47580.921875
783,-45890.382812
784,-41303.683594
785,-41317.292969
786,-50131.328125
787,-43840.726562
788,-50376.203125
789,-41715.574219
790,-31116.996094
791,-37910.781250
792,-34365.406250
793,-33845.183594
794,-32344.673828
795,-27452.404297
796,-24658.763672
797,-15976.589844
798,-22597.824219
799,-12343.276367
800,-15089.496094
801,-8093.456543
802,-10222.276367
803,-12830.922852
804,-604.411865
805,-5306.866211
806,-6489.035156
807,-9551.185547
808,8600.443359
809,3282.211914
810,3041.094727
811,334.748779
812,6377.976562
813,9805.565430
814,17365.908203
815,8800.654297
816,13988.886719
817,12106.697266
818,23652.949219
819,15882.617188
820,12640.530273
821,22418.789062
822,24560.132812
823,23109.257812
824,26924.820312
825,30822.634766
826,38140.652344
827,32918.265625
828,38189.921875
829,39722.457031
830,36491.757812
831,49939.320312
832,33062.800781
833,47789.328125
834,32928.617188
835,51224.046875
836,41601.546875
837,55501.300781
838,57163.878906
839,54537.136719
840,51686.625000
841,51386.187500
842,60667.398438
843,66132.406250
844,59447.683594
845,59268.882812
846,54219.585938
847,57244.898438
848,72887.031250
849,59344.375000
850,66916.210938
851,62004.300781
852,72043.929688
853,73574.554688
854,61652.234375
855,73671.679688
856,52495.230469
857,63781.156250
858,65089.195312
859,69022.601562
860,66117.429688
861,58928.695312
862,74832.421875
863,67045.906250
864,68864.906250
865,57420.617188
866,65534.078125
867,68540.039062
868,63548.140625
869,72667.507812
870,73924.609375
871,65897.320312
872,58137.125000
873,73076.171875
874,60901.996094
875,63923.585938
876,63889.000000
877,60624.289062
878,60711.933594
879,62106.476562
880,59028.855469
881,63811.195312
882,47137.203125
883,61945.929688
884,54508.218750
885,61565.671875
886,51404.402344
887,49218.371094
888,64115.015625
889,42281.855469
890,41860.851562
891,51855.632812
892,35359.753906
893,38194.554688
894,45973.039062
895,40829.257812
896,44539.394531
897,25953.933594
898,38284.765625
899,31400.828125
900,40617.937500
901,26742.917969
902,37287.750000
903,23065.501953
904,24679.320312
905,27130.734375
906,21003.464844
907,17871.095703
908,15816.564453
909,15908.611328
910,17101.796875
911,5128.956543
912,3835.916992
913,1790.611694
914,12530.253906
915,6670.045898
916,2456.284668
917,-2601.051025
918,1396.302490
919,2146.427734
920,-4746.324219
921,-13159.048828
922,-13496.815430
923,-6040.233398
924,-12527.742188
925,-22028.785156
926,-18509.126953
927,-29499.595703
928,-12443.015625
929,-15993.150391
930,-12701.013672
931,-29058.462891
932,-36654.195312
933,-35610.515625
934,-35326.332031
935,-30632.937500
936,-45355.500000
937,-42302.582031
938,-44493.460938
939,-43639.925781
940,-43102.925781
941,-53002.714844
942,-59096.976562
943,-46011.335938
944,-56478.753906
945,-51736.605469
946,-48129.187500
947,-63176.281250
948,-54874.425781
949,-46593.093750
950,-48894.453125
951,-59283.835938
952,-52083.226562
953,-49958.968750
954,-66911.937500
955,-63623.136719
956,-59473.210938
957,-60457.707031
958,-71190.476562
959,-59368.875000
960,-64884.695312
961,-67017.570312
962,-69014.078125
963,-72281.140625
964,-75074.390625
965,-67806.125000
966,-67413.390625
967,-72090.000000
968,-64564.148438
969,-76337.601562
970,-69911.312500
971,-68676.640625
972,-62697.160156
973,-68341.226562
974,-62144.796875
975,-66352.312500
976,-67547.687500
977,-73255.523438
978,-62114.382812
979,-68310.929688
980,-73735.343750
981,-56304.625000
982,-62460.003906
983,-77529.210938
984,-62137.781250
985,-62678.750000
986,-63623.410156
987,-45493.937500
988,-57837.234375
989,-75798.578125
990,-57357.988281
991,-59582.964844
992,-68486.671875
993,-62473.074219
994,-58344.648438
995,-56775.421875
996,-42509.496094
997,-49077.687500
998,-44158.476562
999,-46243.394531
1000,-50063.757812
1001,-41753.117188
1002,-43951.308594
1003,-38129.984375
1004,-45169.699219
1005,-33013.554688
1006,-34183.886719
1007,-18772.300781
1008,-32419.736328
1009,-31508.509766
1010,-18016.437500
1011,-33693.656250
1012,-19628.691406
1013,-26734.039062
1014,-22386.773438
1015,-21445.511719
1016,-18886.882812
1017,-16329.559570
1018,-18718.771484
1019,-15511.128906
1020,-5102.810547
1021,-20790.464844
1022,-5657.439453
1023,-8151.549805
1024,5048.074219
1025,-7893.630859
1026,-6180.089844
1027,10708.025391
1028,24963.931641
1029,6645.469727
1030,15113.026367
1031,10452.925781
1032,12471.203125
1033,18369.261719
1034,15538.876953
1035,25087.148438
1036,11232.462891
1037,17299.894531
1038,32648.972656
1039,20702.777344
1040,41907.011719
1041,39044.503906
1042,30725.693359
1043,32683.878906
1044,30610.683594
1045,40772.886719
1046,34907.289062
1047,46672.773438
1048,46883.109375
1049,40831.078125
1050,49716.886719
1051,42212.789062
1052,39081.152344
1053,43783.906250
1054,49375.246094
1055,54686.203125
1056,44738.804688
1057,50252.082031
1058,54213.937500
1059,53676.636719
1060,64976.933594
1061,54362.679688
1062,54228.750000
1063,70761.632812
1064,68699.101562
1065,61826.019531
1066,55443.085938
1067,66908.031250
1068,59541.289062
1069,64898.953125
1070,62046.890625
1071,71760.531250
1072,74037.515625
1073,66824.531250
1074,74136.156250
1075,64966.664062
1076,74343.609375
1077,71732.281250
1078,67102.453125
1079,78267.570312
1080,60540.859375
1081,74746.453125
1082,69210.250000
1083,60433.062500
1084,60362.296875
1085,73982.875000
1086,70315.812500
1087,67979.875000
1088,64310.968750
1089,58392.695312
1090,60273.710938
1091,63486.664062
1092,57768.109375
1093,62360.675781
1094,52317.421875
1095,55851.484375
1096,70496.515625
1097,63686.546875
1098,51401.402344
1099,58192.046875
1100,61042.851562
1101,66661.718750
1102,56790.859375
1103,51131.402344
1104,48561.101562
1105,51135.500000
1106,42097.320312
1107,51996.945312
1108,53818.898438
1109,39245.578125
1110,37194.515625
1111,32096.539062
1112,39012.007812
1113,38173.750000
1114,45398.433594
1115,28877.214844
1116,34365.671875
1117,35375.167969
1118,27962.189453
1119,28796.021484
1120,14082.595703
1121,20294.144531
1122,29735.589844
1123,25708.886719
1124,19924.140625
1125,789.620605
1126,19100.337891
1127,4728.712402
1128,4653.475586
1129,12751.953125
1130,6947.922852
1131,-2452.107666
1132,1098.731445
1133,-4856.693359
1134,-595.643311
1135,-6435.224609
1136,947.801514
1137,-9834.518555
1138,-4306.544922
1139,-9339.012695
1140,-19443.587891
1141,-25781.167969
1142,-18330.500000
1143,-30735.347656
1144,-22353.878906
1145,-24649.267578
1146,-25657.214844
1147,-22933.878906
1148,-19053.556641
1149,-31136.279297
1150,-25238.402344
